"Derwent Innovation Patent Export, 2020-09-05 10:53:04 +0000 "
标题 - DWPI,标题 (原文),标题 (英语),摘要 - DWPI,摘要 (原文),摘要 (英语),专利权人 - DWPI,优先权日 - DWPI,优先权日,优先权日 - 最早
"","一种哑铃","A dumbbell","","本实用新型公开了一种哑铃，包括握体、配重块，握体中部设有可用手抓握的握柄，握体两边设有左、右承座，承座上设有套置配重块的凸块和挡板，凸块上设有锁扣配重块的若干锁孔；配重块由相叠合的若干配重片组成，配重块成整体可拆卸地套置在左、右承座的凸块前后和挡板之下，配重块的两侧各设有若干与锁孔相适配的锁扣杆，二锁扣件分别锁扣于两侧的锁扣杆与锁孔之间。由于将握柄两端的配重制成一体并以四小片配重片分布于四角，可使配重块的套装更方便、快捷，避免了两边配重的不相同，并使哑铃体重力分布更加均匀，放置更加稳当；所采用的钥匙状锁扣件使配重块与握体之间的锁扣更加牢固、安全；所设护腕杆对手腕起着保护作用。","The utility model claims a dumbbell, comprising a handle, a balance weight block, a handle is set in the middle of two sides of the handle, grip can be grasped by hand is provided with left and right bearing seat, the bearing seat is provided with a bump and the baffle is sleeved balance weight block, several locking holes on the bump is provided with a lock catch of balance weight block; the balance weight block is composed of multiple overlapped weight sheet, weight block as a whole can be detachably sleeved on the bump of the left and right bearing seat back and below the baffle, two sides of the counterweight block are provided with multiple matched locking rod and lock hole, two lock are buckled on two sides of the locking rod and the locking hole. Because the weight of the handle is two ends of integrated and distributed on four corners by four small sheet balance weight sheet sleeved block can make the balance weight is more convenient, quick, and avoids the weight at the two sides are different, and the dumbbell body gravity is distributed more uniformly, putting more stably, the used key-shaped locking piece to make the locking between the balance weight block and the holding body is firm and safe; the wrist the wrist protecting rod set with protection function.","","","2002-10-15","2002-10-15",
"","单缸柴油机的曲柄连杆机构","the crank connecting rod mechanism of single-cylinder diesel engine","","一种单缸柴油机的曲柄连杆机构涉及机械工程的内燃机领域，主要用于S1110系列柴油机的曲柄连杆机构。其特征在于：曲柄有效截面处呈对称中凸形，两个曲柄不重要部位呈凹形，连杆小头呈楔形，与连杆小头衬套相配合的活塞座构成小跨度的活塞销座链接结构。","A crank connecting rod mechanism of single-cylinder diesel engine relates to engine field of mechanical engineering, mainly used for S1110 series diesel engine crank connecting rod mechanism. the character is: the effective crank section is convex shape, two symmetrical crank are not important parts is concave; the connecting rod small head is wedge-shaped, which is matched with the connecting rod small head bush of the piston seat form a small span of the piston pin seat link structure.","","","2002-08-22","2002-08-22",
"Ramie wet spinning method and apparatus uses the ramie rove of conventional process to spin line yarn, and includes the processes of degumming ramie, combing, doubling and obtaining rove followed by other steps","苎麻湿纺纱的方法及其装置","ramie wet spinning method and device thereof","The present invention discloses a remie wet spinning method and its equipment. It directly uses the ramie rove of conventional process to spin line yarn, and includes the processes of degumming ramie, combing, doubling and obtaining rove, making the rove pass through wet-spinning machine, drying, winding and baling, in which the ramie wet-spinning machine is obtained by improving flax wet-spinningmachine, i.e. original curved frame is changed into a special-made breast plate which can be mounted between front and rear rollers, their drafting interval distance can be changed into 180-260 mmf rom 160 mm, and the hairness and nep of obtained ramie yarn can be obviously reduced, its produce quality can be obviously raised, the yarn-forming hair is in 20/10m, and its breaking strength is identical to that of dry-spun yarn, and its retentivity is above 95%.","本发明公开了一种苎麻湿纺纱的方法及其装置，它直接使用常规工艺的苎麻粗纱纺制长麻细纱，包括用常规(干纺)工艺精干麻—梳理—并粗制得的粗纱再通过湿纺细纱机—烘燥—络筒—成包工艺过程，其中：苎麻湿纺细纱机是利用亚麻湿纺细纱机改进而成，即将原来的弧形架改制成特制的胸板，安装在前后罗拉之间，其牵伸隔距由160mm变化为180mm～260mm。制得的苎麻纱成纱毛羽和麻粒明显减少，质量显著提高，成纱毛羽在20根/10米以内，断裂强力同比干纺纱保持率在95％以上，具有很大的社会效益和经济效益，适合苎麻纺织行业使用。","The invention claims a ramie wet-spinning method and its device, it directly using the common technique of ramie roving long spinning spun yarn, comprising a conventional (dry) process flax-carding, and then through wet crude obtained by roving spinning-drying-cheese -the technical process, wherein the ramie wet spinning uses the flax wet spinning frame is improved, namely the original arc frame is changed into a special chest plate is installed between the back roller and the drawing distance changes from 160 mm to 180 mm ~ 260 mm. the prepared ramee yarn hairiness of yarn and ramie is obviously reduced, quality is improved obviously, the hairiness at 20 within /10, breaking strength holding dry spinning rate is more than 95%, and it has great social benefit and economical benefit, and it is suitable for ramie textile industry.","DONGTING RAMIE TEXTILE PRINTING & DYEING","2003-04-08","2003-04-08","2003-04-08",
"Natural color cotton/color cotton spinning yarn off-color control process","天然彩棉/彩色棉色纺纱线色差控制工艺","natural coloured/colour coloured spun yarn colour control technology","The present invention relates to a natural color cotton/grey cotton colored spun yarn color difference control method. Before combing procedure a pre-drawing procedure is set, i.e. the color cotton sliver and grey cotton sliver are undergone the process of blend-drawing treatment according to the ratio of 3:1-9, perfectly, in the silver lapping, combing and doubling procedures of one procedure of said procedures the above-mentioned blend-drawn cotton sliver is undergone the process of secondary blend-drawing treatment. In the spinning procedure the color cotton sliver and grey cotton sliver are matched according to a certain ratio, mixed and fed into the spinning machine, so that it can ensure the their quantitative mixing proportion can be accurately controlled and easily controlled to effectively ensure level and pure shade of colored spun yarn.","本发明涉及一种天然彩棉/彩色棉色纺纱线色差控制工艺，本发明的特点是在精梳工序之前设有预并条工序，即将彩色棉条和本色棉棉条按3∶1～9的比例进行混合并条，最好在条并卷(条卷)、精梳和并道工序或上述的其中一种工序中将上述混合并条后的棉条进行再次混合并条。本发明在纺纱工序中将彩色棉和本色棉棉条按一定比例搭配混合喂入，保证了定量混比的精确可控和易控，从而有效地保证了色纺纱线的色泽均匀、纯正。","The invention claims a natural coloured/colour coloured spun yarn colour control technology, this invention is featured with pre-drawing process prior to combing process, namely the colour cotton and natural cotton strip according to the proportion of 9 ~ 3∶1 to mix and the strip, preferably rolling (rolling) the strips, combed and procedures or wherein one of said process the tampon after mixing and then mixing and strip. The invention in the spinning process, the colour cotton and natural cotton with mixed feeding according to a certain proportion, the quantitative ratio of precisely controllable and easy to control, so as to effectively guarantee the uniform and pure colour of the colour-spun yarn.","BAMIAN TEXTILE CO LTD SHIHEZI XINJIANG","2002-09-24","2002-09-24","2002-09-24",
"","平鼾枕","flat snore eliminating pillow","","本实用新型涉及一种平鼾枕，它由柔性的前矮后高呈坡状的枕体，以及位于枕体前中部的柔性横向凸起的颈枕构成。本实用新型是按照人体工程学的要求设计，具有符合人体功能特征的前部较低的背枕、前中部的横向凸起的颈枕以及后部高于背枕的头枕，因此能充分支承人体躯干的背部、颈部以及头部，其结构简单，人们在睡眠时，能使头部、颈椎和脊椎保持自然的生理体位，使颈部以及背部的肌肉处于自然的松弛状态，从而促进呼吸顺畅，而有效抑制由于睡眠姿势不当而引起的打鼾，提高睡眠质量。","The utility model claims a flat snore eliminating pillow, comprising a flexible front and high back is slope shape, and the flexible transverse convex neck pillow of the front middle part of the. The utility model is designed according to human engineering, has a lateral protrusion of the neck pillow and the back part of front part of human body functional characteristics of lower back pillow, the front middle part higher than the headrest back pillow, so it can fully supports the back of the human body, neck and head. the structure is simple, when people sleep, the head, cervical vertebrae and spine keep the natural physiological body position, the muscles of the neck and back in a relaxed state naturally so as to promote smooth breath, so as to effectively inhibit the snoring, caused by improper sleeping posture improving sleep quality.","","","2002-12-03","2002-12-03",
"","散纤维烘干机的冷却与热量回收装置","radiating cooling and heat recycling device of fibre dryer","","本实用新型公开了一种散纤维烘干机的冷却与热量回收装置，它由一个传动平帘与散纤维烘干机出口相连接，回收装置为一烘箱，上方有一进风窗，在传动平帘的下方有一个吸风罩和离心风机，由于离心风机的抽吸作用，机外冷空气通过进风窗进入并穿透传动平帘吸入风机。同时，离心风机又把从干热空气送至烘干机进风口。烘干纤维温度低，纤维不易纠缠，热量充分利用，节约能源，降低成本，并改善烘干机的操作环境。","The utility model claims a cooling and heat recycling device of dispersed fibre drying machine, composed of a transmission flat curtain is connected with the dryer outlet, bulk fibre recycling device is an oven, is provided with an air inlet window, the lower part of transmission flat curtain with a suction cover and a centrifugal fan, the suction effect of the centrifugal fan, the cold air outside the machine through the air inlet window into and penetrate the transmission curtain suction fan. At the same time, the centrifugal fan and the heat from the dry air to the dryer inlet. drying the fibre temperature is low, the fibre is not easy to full use of entanglement, heat, save energy, reduce cost, and improve the operation environment of the dryer.","","","2002-12-03","2002-12-03",
"","烘干机烘干室的隔板错位装置","separating device of drying room","","本实用新型公开了一种烘干机烘干室的隔板错位装置，上、下风机烘干室间由上隔板(4)和下隔板(10)隔开，上隔板(6)的下部有活络摇门(8)，将上下隔板错位，错位区间受到下风机的吸风作用，气流方向自上向下，上隔板两边的压差减少，使湿纤维很容易地通过活络隔窗，进入下风机烘干室。减少故障发生，从而增加了产量，并节约能源，提高效率，更加方便操作，稳定质量。","The utility model claims a separating device of drying chamber, between the upper and lower drying chamber upper clapboard (4) and lower clapboard (10); the lower part of the upper clapboard (6) is provided with a shaking door (8), the upper and lower clapboard, the suction action section is fan, air flow direction from up to down, upper reduced pressure difference of the two sides of the clapboard, the wet fibre easily through the adjustable window, enter the fan chamber. reducing the fault happens so as to increase the yield and saves energy, improves efficiency, and it is more convenient to operate, has stable quality.","","","2002-12-03","2002-12-03",
"Process for producing towel fabric containing bamboo fiber garn","含竹纤维纱毛巾织物的生产方法","Method for producing bamboo fibre yarn-containing towel fabric","The technological process of producing towel fabric containing bamboo fiber yarn includes the steps of: warping, sizing, weaving, desizing and degreasing, bleaching, dyeing and post-finishing. It features the regulated glue size ingredients with PAV in 0.2-0.6 % and wheat starch in 0.8-1.2 %, the sizing process at 96-100 deg. c for 28-32 sec, the make-up of desizing and degreasing liquid with reduced NaOH amount of 1.2-1.5 g/L, and regulated desizing and degreasing process at 93-97 deg.c for 55-65 min. The said technological process makes the bamboo fiber yarn possess raised strength and lubricating performance for fluent weaving. The fabric is soft, high in fiber strength, and color fast, and will not become sticky and mildewy.","纺织工业中生产、日常生活中应用的含竹纤维纱毛巾织物的生产方法工艺流程为整经→上浆→织造→退浆脱脂→漂白→染色→后整理。特点在于调整了上浆的浆液配方和工艺，配方中采用0.2％～0.6％聚乙烯醇，0.8％～1.2％麦淀粉，上浆温度96～100℃，时间28～32s；调整了退浆脱脂液的配方和工艺，配方中NaOH用量减少到1.2～1.5g/L，温度93～97℃，时间55～65min。由于上述措施的采用，使强力较低的竹纤维纱提高了强力和润滑性，织造生产能顺利进行；织成织物手感柔软，且不损伤竹纤维强力，毛巾在潮湿季节无发腻、霉变现象，染色牢度高。","in the textile industry production, the production process including bamboo fibre yarn towel fabric used in daily life are warping, sizing, weaving, desizing and degreasing, bleaching, dyeing and finishing. characterized in that adjusting slurry prescription and technique of the upper, in the prescription is 0.2% ~ 0.6% polyvinyl alcohol, 0.8% to 1.2% wheat starch, the sizing temperature is 96~100 degrees centigrade and the time is 28~32s; adjusting the prescription and technique of desizing and degreasing solution, NaOH in the prescription dosage is reduced to 1.2 1.5g/L, the temperature is 93~97 degrees centigrade and the time is 55~65 min. Because of adopting above measurements, so that improves the strength and lubricity strong lower bamboo fibre yarn, woven, woven fabric production can be successfully carried out soft hand feeling, and without damaging the bamboo fibre strength, towel in wet season without greasy, mildew phenomenon and high dyeing fastness.","JILE TEXTILE ORNAMENT CO LTD SHANGHAI","2003-06-17","2003-06-17","2003-06-17",
"","平幅洗呢轧水机","width rolling water washing machine","","平幅洗呢轧水机，它是在普通轧水机两侧，各增加一个水槽和强力冲洗管，使织物以平幅状态经导布辊装置通过水槽及强力冲洗管的喷淋和漂洗，再由轧水机轧辊进行压轧，挤压出织物中的污物，使整理后的织物平整、柔软，达到了平幅洗呢的效果，同时在中间水槽一侧的地面上装有回水泵，能够反复回用水槽内的化学品助剂和水，以便有效地节约水资源和化学品助剂。","width rolling water washing machine, it is on both sides of common water rolling, are respectively added with a water tank and a powerful flushing pipe, the fabric width state through a cloth guide roller device through water and spraying and rinsing of the powerful flushing pipe, then the water rolling machine roller nip. extruding the dirt in the fabric to make the fabric smooth and soft after finishing to achieve the open-width washing woolen effect; at the same time the ground on one side of the middle water tank is equipped with a water return pump, capable of repeatedly recycling chemical auxiliary agent and the water in the tank, so as to effectively save water resource and chemical auxiliary agent.","","","2002-09-26","2002-09-26",
"","一种具有保健功能的毛绒座靠垫","The invention claims a health care function of a plush seat cushion","","本实用新型公开了一种具有保健功能的毛绒座靠垫，特别是在毛绒座靠垫织物纤维上涂有涂层的毛绒座靠垫。它由面料、底料、海绵和滚边布组成，海绵夹在面料和底料之间，滚边布包裹在面料和底料的周边。在组成面料的纤维外涂有一层由丙基二甲基十八烷基季铵氯化物、丙烯类乳胶、邻苯二乙酯和缓释香囊构成的涂层。本实用新型具有抗菌、抗螨、抑菌、抑螨、缓慢释放香味、防滑和舒适的优点。","The utility model claims a plush seat has health care function of a plush seat cushion, back cushion fabric coated with coating on fibre especially the plush seat cushion. it is composed of fabric, material, sponge and a rolling edge cloth, sponge is clamped between the surface material and bottom material, rolling edge cloth wrapped on the periphery of the surface material and bottom material. outside the fibres of the fabric coated with a layer of coat comprises propyl dimethyl octadecyl ammonium chloride, propylene latex, diethyl phthalate and a slow-releasing fragrant. The utility model has antibacterial, anti-mite, bacteriostatic, mite, slowly releasing fragrance, skidproof and comfortable.","","","2002-10-22","2002-10-22",
"","梳棉机小量试纺专用给棉斗","measuring test of carding machine dedicated to hopper","","一种梳棉机小量试纺专用给棉斗，是由金属薄板构成方形底板，左、右、后三面有边，前面无边的抽屉形状的给棉斗，在左右两边中间部位固结两个形状相同，带有定位孔的连体支撑板件，定位孔位于斗底下方，左右两边前端与底板成30度左右的倒角，用棉卷扦穿入两定位孔，嵌入棉卷架滑槽内固定，固定位置应使给棉斗底板与给棉板之间成25度至35度夹角范围内。该给棉斗适合各种梳棉机和各种棉型纤维试制用。","A small test of carding machine dedicated to the hopper is made of metal thin plate; the square bottom plate, left, right and rear surface edge with the front margin of the drawer to hopper shape, connection support plate on the left and right two sides of the middle part of two same shape with the locating hole; the locating hole on the bucket bottom; the left and right two sides of the front end of the bottom plate into chamfer angle of 30 centigrade for cotton roll through two locating holes, embedded fixed cotton coil frame sliding groove, and the fixing position should be to make the hopper bottom plate and the cotton feeding plate is 25 degrees to 35 degrees range. the feeding hopper is suitable for all kinds of cotton and cotton fibre.","","","2002-12-20","2002-12-20",
"","一种防潮减震材料","A moisture-proof and vibration damping material","","本实用新型涉及一种装饰性功能材料，尤其涉及一种防潮减震材料，其特征在于：所述材料是由多个化学交联聚乙烯碎料结合而成。该防潮减震材料具有良好的防潮、减震和隔音、隔热性能；克服了现有车用减震防潮材料存在着易吸潮、发霉易脆断等问题。","The utility model claims a decorative material, especially relates to a moisture-proof and vibration damping material, wherein the material is composed of a plurality of chemically cross-linkable polyethylene particle combined together. the moisture-proof and vibration damping material has good moisture-proof, sound insulation, damping and heat insulation performance, overcomes the defect that the existing vehicle shock-proof material there is easy to absorb moisture, mildewing easy to brittle fracture.","","","2002-12-06","2002-12-06",
"","多层复合甲壳素纤维针织面料","multi-layer composite chitin fibre knitting fabric","","一种多层复合甲壳素纤维针织面料，是由针织布或机织布、PU或PTFE薄膜，甲壳素纤维针织布等构成，其特征在于：在一层甲壳素纤维针织布的外表粘结一层PU或PTFE薄膜，再在PU或PTFE薄膜的外表面粘结一层针织面料或一层机织面料。它克服了单层面料织物单一加工产品附加值低的缺点，广泛适用于做外衣，运动衣及内衣制作使用。","A multilayer composite chitin fibre knitting fabric, comprising a knitted or woven fabric, PU or PTFE film, a chitin fibre knitted fabric, wherein a layer of chitin fiber knitting outer adhesive layer of PU or PTFE film, and then the outer surface bonded with a layer of knitted fabric or woven fabric of one layer PU or PTFE film. It overcomes the single fabric fabric single processing product added value is low, it is widely suitable for outerwear, sports clothes and underwear production.","","","2002-10-28","2002-10-28",
"","一种可自动伸缩调节腰围尺寸的服装","A garment capable of automatically telescopic adjusting waistline size","","本实用新型一种可自动伸缩调节腰围尺寸的服装，它的腰围部分由前片和后片组成，前片与后片连接部位装有伸缩带，伸缩带隐藏在后片夹层内，此腰围结构可用在裤子或者裙子，上衣或腰带上，本实用新型结构简单，不仅可自动调节腰围尺寸，而且外观简捷、美观，实用性强。","The utility model claims a garment capable of automatically telescopic adjusting waistline size, waist part of the front sheet and the back sheet, the front sheet and the rear sheet connecting part is provided with a telescopic belt, telescopic belt hidden in the interlayer of the back sheet, the waist structure can be used on the trousers or skirt, coat or waistband, the utility model has simple structure, not only can automatically adjust the waist size, and the appearance is simple and beautiful and strong practicability.","","","2002-09-30","2002-09-30",
"Process for cake dyeing, includes producing spinning cake in spinning mill, extrusion washing, dewatering, dyeing, stoving and forming cheese, in which spinning cake produced in spinning mill after extrusion washing is dyed","丝饼染色新工艺","cake new dyeing technique","The present invention is one new technological process of dyeing spinning cake of viscose filament. Spinning cake produced in spinning mill after extrusion washing is dyed in dyeing vessel directly. The specific technological process includes producing spinning cake in spinning mill, extrusion washing, dewatering, dyeing, stoving and forming cheese. Only once stoving of the spinning cake can reduce the loss of spinning cake in strength and elongation. The present invention can meet the need of dyeing various spinning cakes in different sizes, and has low cost, high yield, less loss and high product quality.","本发明公开了一种粘胶长丝丝饼染色的新工艺，将纺丝机生产的丝饼经过压洗后直接在染缸内进行染色，具体工艺流程如下：纺丝机生产丝饼、压洗、脱水、染色、烘干、成筒，本发明丝饼只烘干需烘干一次，丝饼强、伸度损失小，能适应织机对各种规格染色丝饼的要求，减少投资和降低生产成本，得率高，毛丝少，提高产品品质。","The invention claims a new technique for viscose dyeing long silk cake, cake after pressing the spinning production of directly washing for dyeing in the dyeing, the specific process flow is as follows: spinning cake production, pressure washing, dewatering, dyeing, drying, forming cylinder, cake of this invention only need to dry once drying, strong filament cake, small strength loss, can adapt weaving all kinds of dyeing of spinning, reducing investment and reducing production cost, high yield, less filaments, improves the quality of the product.","SICHUAN YIBIN HUIMEI WIRE IND CO LTD","2002-06-28","2002-06-28","2002-06-28",
"Negative oxygen ions health care fabric manufacturing process","负氧离子保健织物的制造方法","Manufacturing method of negative oxygen ion healthcare fabric","The present invention relates to the making process of fabric with negative oxygen ion health function, and features that the negative oxygen ion microcapsule is first mixed with adhesive to produce paint and the paint is then painted to any side of fabric and fixed via roasting onto the fabric. The negative oxygen ion microcapsule and the adhesive accounts for 12-15 wt% and 15-20 wt% of the paint separately. The negative oxygen ion particle in the negative oxygen ion microcapsule is prepared with natural Qibingshi stone and through crushing, mixing with titania and calcination. The negative oxygen ion microcapsule is painted onto the surface of fabric via post-finishing process makes the fabric bright colored and capable of releasing negative oxygen ion to freshen air and improve inhabitation environment.","一种负氧离子保健织物的制造方法，属具有负氧离子保健作用的织物制造技术领域，其特征在于先将负氧离子微胶囊和粘合剂混和后，制成涂料，然后涂覆在织物的任一面上，再经焙烘使涂料固着在织物上，所述负氧离子微胶囊和粘合剂占涂料的重量百分比分别为12～15％和15～20％。所述负氧离子微胶囊中的负氧离子微粒可由天然奇冰石经破碎后与纳米二氧化钛经煅烧组成。本发明将负氧离子微胶囊经后整理技术涂覆于纺织品表面，能有效改善负氧离子保健产品的织造和后整理加工工艺，使织物表面色彩鲜艳，且可释放出负氧离子，具有清新空气，改善居室环境的功能。","A manufacturing method of negative oxygen ion healthcare fabric, with negative oxygen ion healthcare effect of the fabric manufacturing technology field, wherein the negative oxygen ion microcapsule and adhesive after mixing, coating, then coating on any one surface of the fabric, then fixing the coating on the fabric after baking, the negative oxygen ion, microcapsules and binder coating by weight percentage are respectively 12 ~ 15% and 15 ~ 20%. the negative oxygen ion of negative oxygen ion particles the micro capsule can be formed by calcining and nanometre titanium dioxide after being crushed by the natural tourmaline. the negative oxygen ion microcapsule coated on the textile surface by finishing technology of the invention can effectively improve the negative weaving and finishing processing technique of oxygen ion healthcare product, thus the fabric surface has bright colour, and can release the negative oxygen ion, with fresh air, and improve the function of the room environment.","ZHEJIANG YONGLI WARP KNITTING CO LTD","2002-06-28","2002-06-28","2002-06-28",
"","轮子自动收放的旅行箱","the wheel automatically retractable travel suitcase","","本实用新型轮子自动收放的旅行箱，尤其涉及具有可收缩拉杆的旅行箱。解决轮子裸露在箱体的外面，无法收缩，占用空间，不利于摆放，易受损的问题。它的箱体底侧设置有“∏”字形拉杆组和一对轮子；拉杆组包括拉把和两组伸缩杆，其特征是：旅行箱下部设轮子的容置区，容置区中枢装可翻转收放的轮座；轮子枢接在轮座上的一端；另有两根刚性拉绳，每根刚性拉绳的一端连接一组伸缩杆且在连接处刚性拉绳的轴线与伸缩杆的轴线平行，每根刚性拉绳的另一端分别连接一个轮座且在连接处刚性拉绳的轴线与轮座的枢轴线垂直并偏离开轮座的枢轴线。","The utility model wheel automatic retraction of suitcase, especially relates to a retractable pull rod of suitcase. the problem that the wheels are exposed outside the box, cannot shrink, occupied space, not easy to be damaged. the bottom side of the box body is provided with a "" II "" shaped pull rod set and a pair of wheels, pull rod set is comprised of pull handle and two groups of telescopic rod; the lower part of travelling wheel set area, central turning wheel seat; the wheel pivoted on one end of the wheel seat; the other two rigid pull ropes, one end of each rigid pull rope is connected with a group of telescopic rod and the connecting rigidity of the pull rope axis parallel to the axis of the telescopic rod, the pivot axis of the other end of the wheel seat of each rigid pull rope are respectively connected with a wheel and the connection rigidity of the pull rope vertically and offset from the pivot axis of the wheel seat.","","","2002-03-29","2002-03-29",
"Silk ribbon embroidery comprises silk ribbon and small amount of silk thread, where silk ribbon and silk thread constitute pattern of embroidery","一种丝带绣品及其制作方法","A ribbon embroidery and its manufacturing method","The present invention relates to a silk ribbon embroidery and its manufacture. The ribbon embroidery is made of silk ribbon and small amount of silk thread, and the silk ribbon and silk thread constitute the pattern of embroidery. The embroidering process includes sawing the silk ribbon with an embroidery needle onto base cloth and post-treatment, including partial ironing, partial water soaking, etc. The present invention has simple and low-cost embroidering process and the embroidery is rude, bold, unconstrained and strong in stereo effect.","本发明涉及一种丝带绣品及其制作方法，它是采用丝带和小量绣线绣制而成，图案本身就是丝带和绣线，绣制过程采用绒绣绣花针直接将丝带缝制在底布上，后处理过程根据不同的底布采取部分熨烫，少量下水和不熨烫等，这种绣品粗广豪放，立体效果强，绣制过程简单，且费用低，是一种很新颖的工艺绣品。","The invention claims a ribbon stitch product and its preparation method, it adopts small embroidery wire ribbon and embroidery pattern itself is ribbon and embroidery, embroidering process is embroidering the embroidery needle directly sewing the ribbon on the bottom cloth, take part of the ironing base cloth according to different post-processing process, little water and non-ironing, such coarse, strong three-dimensional effect, embroidering process is simple, and cost is low, which is a very novel technique.","YANTAI CITY HANDICRAFT CO LTD","2000-11-09","2000-11-09","2000-11-09",
"Oxygen anionic microcapsule for fabric and preparation method thereof","织物用负氧离子微胶囊及其制备方法","fabric with negative oxygen ion micro-capsule and preparation method thereof","The present invention relates to a kind of negative oxygen ion microcapsule for fabric, belonging to the field of auxiliary material technology of negative oxygen ion health-care fabric, including capsule body, and it is characterized by that the negative oxygen ion particle is covered in the capsule body, and the negative oxygen ion particle is made up by using broken natural qibing stone and nano titanium dioxide through the roasting process. Said invention also provides its preparation method, and can effectively raise negative oxygen ion content of fabric and its release effect.","一种织物用负氧离子微胶囊，属负氧离子保健织物的辅助材料技术领域，包括囊体，其特征在于囊体内包覆有负氧离子微粒，所述的负氧离子微粒可由天然奇冰石经破碎后与纳米二氧化钛经煅烧组成。所述负氧离子微胶囊的制备方法为：将负氧离子微粒乳化或分散在溶有壁材的连续相中，经搅拌使壁材包裹在负氧离子微粒上。所述壁材的材料可为明胶和树胶的混合物。本发明将负氧离子微粒为芯材制成微胶囊，应用于负氧离子保健织物上，有效改善了负氧离子保健产品的织造和后整理加工工艺，提高了负氧离子含量和释放效果。","A fabric for negative-oxygen ion micro-capsule, belonging to the technical field of auxiliary material of negative oxygen ion healthcare fabric, comprising a bag, wherein the bag is coated with negative oxygen ion particles, the negative oxygen ion particle can be formed by calcining and nanometre titanium dioxide after being crushed by the natural tourmaline. preparation method of said negative oxygen ion micro-capsule is: the negative oxygen ion particles emulsified or dispersed in the continuous phase in the wall material solution with, stirring the wall material is covered on the negative oxygen ion particles. the material of the wall material is mixture of glutin and gum. The invention combines the negative oxygen ion particle as core to prepare micro-capsule, which is applied to the negative oxygen ion healthcare fabric, which effectively improves the weaving and finishing processing technique of negative oxygen ion healthcare product and improves the content of negative oxygen ion and releasing effects.","ZHEJIANG YONGLI WRAP KUITTING CO LTD","2002-06-28","2002-06-28","2002-06-28",
"","毛条双浴化学处理装置","top chemical processing device","","一种毛条双浴化学处理装置，它是由一个U型窄槽型浴槽和一个窄槽型浴槽，中间有一个箱形溢水槽连接成一体，溢水槽上方和右边有可调溢水口，两个浴槽内部装有导辊，在出口处都装有一对轧辊，并装有喷淋棒，上下网帘从轧辊中间出来分别经上下导辊再上下叠成一片经过两浴槽内导辊和轧辊，分别形成封闭环状上下网帘，毛条随上下网帘夹住运行，经过两浴槽处理。这种装置与单浴混流处理相比具有化学试剂使用率高，毛条更清洁和损伤小，生产稳定等优点。","A top chemical treatment device, which is composed of a U-shaped narrow-slot type bath groove and a narrow groove-shaped bath, there is a box-shaped overflow groove are integrally connected; the overflowing groove above and right with an adjustable overflow port, two bath groove internally provided with a guide roller; is equipped with a pair of rollers at the outlet, and a spray rod, upper and lower curtain from the roller respectively through upper and lower guide rollers and then down through two bath grooves of the guide roller and the roller respectively to form a closed annular upper mesh curtain, along with run on net curtain clamp after two bath process. The device with the single bath process of mixed flow compared with chemical agent ratio is high, the wool top is cleaner and less damage, stable production and so on.","","","2002-12-03","2002-12-03",
"Process for preparing pectinase for de-gumming ramie and its application in de-gumming ramie","苎麻脱胶果胶酶的生产及其在苎麻脱胶工艺中的应用","ramie de-gumming of pectin enzyme preparation and its application in ramie degumming process","A pectinase for de-gumming remie is prepared through naturally sampling bacteria, measuring its enzyme activity by Nelson Somogyi method, and screening the bacteria. It is Bacillus subtilis (CCTCC0 No.M200038). Its advantages are simple culture condition, high growth and reproduction speed, and high activity to generate pectinase. Its fermenting liquid can be directly used to de-gum the ramie with short period (2-4 hrs.), high de-gumming rate (97.5-98.5%) and no damage to fibres.","本发明公开了一种果胶酶及其在苎麻脱胶工艺中应用的方法，它是通过自然采集菌样，按Nelson Somogyi氏法测定酶活性，筛选而得，即枯草芽孢杆菌(Bacillus subtilis)，保藏号CCTCC NO：M200038，其特点是：培养条件要求粗放，生长繁殖快，产果胶酶活性高，发酵粗酶液直接用于苎麻脱胶，2-4小时即可完成，脱胶率达97.5-98.5%，纤维分散度100%，完全适应于工业化生产，脱胶纤维质量好，不损伤纤维，环境污染减少80%以上。","The invention claims a pectinase and application in ramie degumming process method, it is prepared by naturally collecting bacteria samples, according to ferricyanide Somogyi-Nelson; nucleotidase measuring enzyme activity and screening to obtain bacillus subtilis (Bacillus subtilis), the preservation number CCTCC NO: M200038, culture condition to extensive, fast growth and propagation and high pectinase activity, crude fermenting enzyme liquid directly for degumming the ramie. 2-4 hours, completing the degumming rate reaches 97.5-98.5 %, fibre dispersion degree is 100 %, completely suitable for industrial production, the degumming fiber has good quality, no damage to fibre, environment pollution is reduced by more than 80%.","UNIV SHANDONG","2001-01-15","2001-01-15","2001-01-15",
